City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Cape Town,ZA,78.01,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
4,Mahibadhoo,MV,82.78,overcast clouds,3.78,72.97,Omadhoo Inn
7,Singkang,MY,78.8,light rain,2.1,102.8,Kampung Seri Makmor Pagoh
8,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
12,Butaritari,KI,81.73,clear sky,3.07,172.79,Isles Sunset Lodge
15,Pangkalanbuun,ID,82.81,light rain,-2.68,111.62,Grand Kecubung Hotel
21,Mahebourg,MU,82.4,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
34,Teahupoo,PF,80.6,light rain,-17.83,-149.27,Vanira Lodge
38,Hermanus,ZA,79.0,scattered clouds,-34.42,19.23,Misty Waves Boutique Hotel
41,Busselton,AU,82.0,clear sky,-33.65,115.33,Observatory Guest House
43,East London,ZA,77.0,clear sky,-33.02,27.91,Tu Casa
45,Rikitea,PF,78.66,few clouds,-23.12,-134.97,Pension Maro'i
63,Ternate,ID,83.88,light rain,0.8,127.4,Grand Dafam Bela Ternate
66,Kapaa,US,75.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
67,Carnarvon,AU,82.4,clear sky,-24.87,113.63,Hospitality Carnarvon
76,Georgetown,MY,82.0,scattered clouds,5.41,100.34,Cititel Penang
77,Kieta,PG,81.55,light rain,-6.22,155.63,
79,Chiang Khong,TH,78.01,clear sky,20.26,100.4,Chiangkhong Green Inn Resident
81,Bengkulu,ID,82.62,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
82,Namatanai,PG,83.17,light rain,-3.67,152.43,Namatanai Hotel
84,Sakete,BJ,82.4,scattered clouds,6.74,2.66,Chambre Sakété
87,Faanui,PF,79.43,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Atuona,PF,78.37,clear sky,-9.8,-139.03,Villa Enata
96,Luanda,AO,79.63,overcast clouds,-8.84,13.23,EPIC SANA Luanda
101,Geraldton,AU,95.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
103,Saint-Philippe,RE,84.0,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
110,Avarua,CK,80.6,clear sky,-21.21,-159.78,Paradise Inn
113,Lorengau,PG,83.26,light rain,-2.02,147.27,Lorengau Harbourside Hotel
116,Ambilobe,MG,92.37,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
117,Carutapera,BR,78.26,broken clouds,-1.2,-46.02,Lidera
124,Ratnagiri,IN,86.36,clear sky,16.98,73.3,Hotel Landmark
126,Xuddur,SO,84.63,broken clouds,4.12,43.89,Banjanay Hotel
128,Bambous Virieux,MU,82.4,shower rain,-20.34,57.76,Casa Tia Villa
134,Pringsewu,ID,84.56,moderate rain,-5.36,104.97,Urban Style by Front One
137,Galle,LK,84.31,moderate rain,6.04,80.22,Amangalla
148,Kruisfontein,ZA,84.13,clear sky,-34.0,24.73,Oyster Bay House Rental
154,Cairns,AU,82.4,light rain,-16.92,145.77,Mantra Trilogy Cairns
156,Honiara,SB,86.0,broken clouds,-9.43,159.95,Heritage Park Hotel
166,Beboto,TD,86.14,clear sky,8.27,16.94,
167,Kralendijk,BQ,77.0,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
169,Vangaindrano,MG,81.77,light rain,-23.35,47.6,Hotel Fanilo
175,The Valley,AI,78.01,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
186,Arlit,NE,77.83,clear sky,18.74,7.39,Hôtel Telwa Bungalow
190,Mildura,AU,84.2,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
191,Bubaque,GW,78.48,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
