City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Constitucion,CL,-35.33,-72.42,55.56,76,0,4.0,clear sky
1,Cape Town,ZA,-33.93,18.42,78.01,50,0,11.41,clear sky
2,Saint George,US,37.1,-113.58,30.2,58,1,3.36,clear sky
3,Mataura,NZ,-46.19,168.86,53.01,97,100,5.99,light rain
4,Mahibadhoo,MV,3.78,72.97,82.78,78,99,15.99,overcast clouds
5,Lasa,IT,46.62,10.7,34.0,100,90,5.82,light snow
6,Plettenberg Bay,ZA,-34.05,23.37,74.25,64,0,6.44,clear sky
7,Singkang,MY,2.1,102.8,78.8,88,40,2.24,light rain
8,Vaini,TO,-21.2,-175.2,75.2,94,75,3.36,light rain
9,Ola,RU,59.58,151.28,-6.43,83,100,15.26,overcast clouds
10,Ribeira Grande,PT,38.52,-28.7,60.8,93,75,27.51,light rain
11,Bethel,US,41.37,-73.41,30.0,88,100,1.99,overcast clouds
12,Butaritari,KI,3.07,172.79,81.73,81,0,18.92,clear sky
13,Half Moon Bay,US,37.46,-122.43,53.01,93,90,2.13,overcast clouds
14,Progreso,MX,21.28,-89.67,72.0,94,75,10.29,broken clouds
15,Pangkalanbuun,ID,-2.68,111.62,82.81,77,64,3.67,light rain
16,Cabo San Lucas,MX,22.89,-109.91,57.0,73,75,3.0,broken clouds
17,Xinye,CN,32.52,112.35,46.0,40,63,9.98,broken clouds
18,Tianmen,CN,30.65,113.16,48.81,50,0,6.82,clear sky
19,Arraial Do Cabo,BR,-22.97,-42.03,71.87,91,100,13.0,light rain
20,Pisco,PE,-13.7,-76.22,68.0,88,0,9.17,clear sky
21,Mahebourg,MU,-20.41,57.7,82.4,61,75,13.87,shower rain
22,Hilo,US,19.73,-155.09,71.6,83,75,4.7,moderate rain
23,Tilichiki,RU,60.47,166.1,-3.12,92,100,10.56,overcast clouds
24,Ossora,RU,59.24,163.07,6.31,93,100,8.72,overcast clouds
25,Akureyri,IS,65.68,-18.09,46.4,70,0,10.29,clear sky
26,Evensk,RU,61.95,159.23,-5.15,85,93,12.55,overcast clouds
27,Barrow,US,71.29,-156.79,-5.8,76,90,3.36,overcast clouds
28,Haikou,CN,20.05,110.34,64.4,72,90,11.18,overcast clouds
29,Beringovskiy,RU,63.05,179.32,12.87,95,100,27.56,light snow
30,Mugur-Aksy,RU,50.35,90.5,-9.65,80,0,3.13,clear sky
31,Punta Arenas,CL,-53.15,-70.92,46.4,75,62,16.11,light rain
32,Vardo,NO,70.37,31.11,27.34,92,9,7.18,clear sky
33,Albany,US,42.6,-73.97,32.0,79,60,3.18,broken clouds
34,Teahupoo,PF,-17.83,-149.27,80.6,61,20,4.7,light rain
35,Jamestown,US,42.1,-79.24,32.0,92,90,5.82,overcast clouds
36,Ubinskoye,RU,55.31,79.68,-17.64,87,0,2.59,clear sky
37,Ushuaia,AR,-54.8,-68.3,44.6,75,75,23.04,light rain
38,Hermanus,ZA,-34.42,19.23,79.0,58,31,5.01,scattered clouds
39,Khatanga,RU,71.97,102.5,-23.64,79,99,3.38,overcast clouds
40,Bluff,NZ,-46.6,168.33,53.01,97,99,5.99,light rain
41,Busselton,AU,-33.65,115.33,82.0,34,9,10.0,clear sky
42,Galich,RU,58.38,42.35,24.96,98,88,5.12,overcast clouds
43,East London,ZA,-33.02,27.91,77.0,65,0,6.93,clear sky
44,Buraydah,SA,26.33,43.98,62.6,88,40,9.17,scattered clouds
45,Rikitea,PF,-23.12,-134.97,78.66,73,22,8.41,few clouds
46,Srednekolymsk,RU,67.45,153.68,-20.33,87,100,6.13,overcast clouds
47,Lebu,CL,-37.62,-73.65,58.15,92,84,14.9,broken clouds
48,Chapais,CA,49.78,-74.85,23.0,92,90,6.93,overcast clouds
49,New Norfolk,AU,-42.78,147.06,66.99,53,100,6.44,light rain
50,Dashitou,CN,43.31,128.51,0.86,83,33,10.31,scattered clouds
51,Yerbogachen,RU,61.28,108.01,-15.83,87,100,9.42,light snow
52,Devonport,AU,-41.17,146.35,61.0,93,100,7.85,light rain
53,Chuy,UY,-33.7,-53.46,59.76,87,0,5.3,clear sky
54,Hobart,AU,-42.88,147.33,66.99,59,75,9.17,light rain
55,Port Alfred,ZA,-33.59,26.89,73.99,77,0,4.0,clear sky
56,Kharp,RU,66.8,65.81,-25.73,84,100,6.33,overcast clouds
57,Tomatlan,MX,19.93,-105.25,59.2,51,87,2.95,overcast clouds
58,Mehamn,NO,71.04,27.85,25.25,94,0,8.95,clear sky
59,Mar Del Plata,AR,-38.0,-57.56,66.99,88,0,5.82,clear sky
60,Iqaluit,CA,63.75,-68.51,-4.0,70,75,8.05,light snow
61,Sao Joao Da Barra,BR,-21.64,-41.05,69.51,93,100,5.41,light rain
62,Klaksvik,FO,62.23,-6.59,39.2,93,98,10.29,overcast clouds
63,Ternate,ID,0.8,127.4,83.88,74,100,8.99,light rain
64,Nanortalik,GL,60.14,-45.24,29.97,92,72,15.77,light snow
65,Tasiilaq,GL,65.61,-37.64,33.8,80,100,14.99,snow
66,Kapaa,US,22.08,-159.32,75.2,73,75,14.99,broken clouds
67,Carnarvon,AU,-24.87,113.63,82.4,74,0,18.34,clear sky
68,Bredasdorp,ZA,-34.53,20.04,73.4,69,100,12.75,overcast clouds
69,Kodiak,US,57.79,-152.41,33.8,74,90,9.17,light rain
70,Clyde River,CA,70.47,-68.59,-23.8,74,1,5.82,clear sky
71,Nouadhibou,MR,20.93,-17.03,60.8,67,43,10.29,scattered clouds
72,Gushikawa,JP,26.35,127.87,68.0,64,90,10.29,overcast clouds
73,Ishigaki,JP,24.34,124.16,69.8,77,75,18.34,broken clouds
74,Lixourion,GR,38.2,20.43,60.8,77,75,5.82,broken clouds
75,Ozinki,RU,51.18,49.68,23.99,98,98,7.7,overcast clouds
76,Georgetown,MY,5.41,100.34,82.0,78,40,3.36,scattered clouds
77,Kieta,PG,-6.22,155.63,81.55,76,57,6.89,light rain
78,Novobiryusinskiy,RU,56.96,97.71,-11.83,87,100,14.18,overcast clouds
79,Chiang Khong,TH,20.26,100.4,78.01,99,0,0.56,clear sky
80,Nikolskoye,RU,59.7,30.79,33.01,92,75,2.24,snow
81,Bengkulu,ID,-3.8,102.27,82.62,77,99,5.7,overcast clouds
82,Namatanai,PG,-3.67,152.43,83.17,75,98,10.33,light rain
83,Dikson,RU,73.51,80.55,4.71,95,4,7.63,clear sky
84,Sakete,BJ,6.74,2.66,82.4,83,40,8.05,scattered clouds
85,Yellowknife,CA,62.46,-114.35,-13.0,75,75,9.17,broken clouds
86,Gat,IL,31.61,34.76,64.99,9,0,3.0,clear sky
87,Faanui,PF,-16.48,-151.75,79.43,78,0,17.27,light rain
88,Valley City,US,46.92,-98.0,19.4,100,1,4.7,clear sky
89,Castro,BR,-24.79,-50.01,59.14,97,77,7.31,broken clouds
90,Atyrau,KZ,47.12,51.88,24.8,79,90,2.24,mist
91,Chara,RU,56.91,118.26,-22.34,73,94,0.74,overcast clouds
92,Airai,TL,-8.93,125.41,70.41,95,92,1.74,moderate rain
93,Manono,CD,-7.3,27.42,73.87,87,98,4.36,light rain
94,Thompson,CA,55.74,-97.86,1.4,84,90,4.7,light snow
95,Atuona,PF,-9.8,-139.03,78.37,72,5,22.86,clear sky
96,Luanda,AO,-8.84,13.23,79.63,77,89,4.85,overcast clouds
97,Hasaki,JP,35.73,140.83,44.6,45,20,8.05,few clouds
98,Qaanaaq,GL,77.48,-69.36,-0.38,76,87,1.14,overcast clouds
99,Santa Barbara,US,34.73,-120.03,48.99,100,40,3.85,mist
100,Asuncion,PY,-25.3,-57.64,73.4,64,0,3.36,clear sky
101,Geraldton,AU,-28.77,114.6,95.0,26,0,28.86,clear sky
102,Fortuna,US,40.6,-124.16,53.01,100,90,14.99,overcast clouds
103,Saint-Philippe,RE,-21.36,55.77,84.0,61,0,29.97,clear sky
104,Husavik,IS,66.04,-17.34,46.4,70,0,10.29,clear sky
105,Oromocto,CA,45.84,-66.48,24.8,79,90,8.05,overcast clouds
106,Pevek,RU,69.7,170.31,-11.69,86,10,2.42,clear sky
107,Norman Wells,CA,65.28,-126.83,-14.8,75,75,5.82,light snow
108,Sitka,US,57.05,-135.33,35.6,93,40,4.7,scattered clouds
109,Jumla,NP,29.27,82.18,58.53,31,100,7.34,overcast clouds
110,Avarua,CK,-21.21,-159.78,80.6,78,0,18.34,clear sky
111,Uong Bi,VN,21.03,106.78,64.4,52,75,6.93,broken clouds
112,Jaciara,BR,-15.97,-54.97,70.57,93,96,1.39,moderate rain
113,Lorengau,PG,-2.02,147.27,83.26,76,99,5.59,light rain
114,Chabahar,IR,25.29,60.64,66.38,22,0,0.25,clear sky
115,Upernavik,GL,72.79,-56.15,7.95,91,100,9.89,overcast clouds
116,Ambilobe,MG,-13.2,49.05,92.37,51,100,2.89,overcast clouds
117,Carutapera,BR,-1.2,-46.02,78.26,82,63,6.17,broken clouds
118,Santa Maria,BR,-29.68,-53.81,59.14,92,0,6.49,clear sky
119,Moosomin,CA,50.13,-101.67,29.55,94,0,10.98,clear sky
120,Belaya Gora,RU,68.53,146.42,-25.71,85,100,5.55,overcast clouds
121,Turbat,PK,26.0,63.04,70.41,18,0,19.13,clear sky
122,Beloha,MG,-25.17,45.05,95.68,26,0,12.1,clear sky
123,Lazarev,RU,52.23,141.51,-11.94,83,0,6.53,clear sky
124,Ratnagiri,IN,16.98,73.3,86.36,45,6,7.81,clear sky
125,Port Elizabeth,ZA,-33.92,25.57,73.4,69,0,8.05,clear sky
126,Xuddur,SO,4.12,43.89,84.63,36,81,20.0,broken clouds
127,Tiksi,RU,71.69,128.87,-27.74,85,100,2.04,overcast clouds
128,Bambous Virieux,MU,-20.34,57.76,82.4,61,75,13.87,shower rain
129,Ust-Nera,RU,64.57,143.2,-21.19,77,100,3.96,overcast clouds
130,Kristinehamn,SE,59.31,14.11,33.8,100,24,5.82,few clouds
131,Lavrentiya,RU,65.58,-171.0,-7.38,88,0,16.91,clear sky
132,Torbay,CA,47.67,-52.73,30.99,92,90,18.34,snow
133,Okhotsk,RU,59.38,143.3,-13.38,87,100,17.16,overcast clouds
