City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Iqaluit,CA,12/24/2020 2:54,63.75,-68.51,-0.4,70,75,18.34
1,Atuona,PF,12/24/2020 2:58,-9.8,-139.03,78.64,76,4,16.71
2,Punta Arenas,CL,12/24/2020 2:58,-53.15,-70.92,44.01,70,2,25.28
3,Guerrero Negro,MX,12/24/2020 2:58,27.98,-114.06,62.08,65,100,5.95
4,Fairlie,GB,12/24/2020 2:58,55.76,-4.86,35.01,79,46,9.17
5,Lebu,CL,12/24/2020 2:58,-37.62,-73.65,55.94,90,0,12.82
6,Tasiilaq,GL,12/24/2020 2:58,65.61,-37.64,30.2,92,100,39.15
7,Thompson,CA,12/24/2020 2:58,55.74,-97.86,-27.4,74,20,3.06
8,Saint George,US,12/24/2020 2:55,37.1,-113.58,39.99,21,1,9.17
9,Ushuaia,AR,12/24/2020 2:58,-54.8,-68.3,46.4,85,20,20.8
10,Hermanus,ZA,12/24/2020 2:58,-34.42,19.23,61,94,100,4.36
11,Nkhotakota,MW,12/24/2020 2:58,-12.93,34.3,74.12,81,54,4.07
12,Butaritari,KI,12/24/2020 2:58,3.07,172.79,81.23,77,68,15.68
13,Coquimbo,CL,12/24/2020 2:58,-29.95,-71.34,59,82,0,5.82
14,Jamestown,US,12/24/2020 2:58,42.1,-79.24,39.99,55,75,10.29
15,Yellowknife,CA,12/24/2020 2:54,62.46,-114.35,-2.99,83,90,16.11
16,Castro,BR,12/24/2020 2:55,-24.79,-50.01,62.47,89,77,11.18
17,Kavieng,PG,12/24/2020 2:58,-2.57,150.8,85.95,66,91,5.68
18,Arraial Do Cabo,BR,12/24/2020 2:58,-22.97,-42.03,73.74,85,97,7.16
19,Loreto,MX,12/24/2020 2:58,22.27,-101.97,58.6,33,0,8.25
20,Carnarvon,AU,12/24/2020 2:58,-24.87,113.63,80.6,83,0,11.41
21,Aksha,RU,12/24/2020 2:58,50.28,113.29,4.82,73,0,12.08
22,Albany,US,12/24/2020 2:57,42.6,-73.97,37,61,98,1.01
23,Iwanai,JP,12/24/2020 2:58,42.97,140.51,41.14,72,98,14.18
24,Imeni Poliny Osipenko,RU,12/24/2020 2:58,52.42,136.49,-9.44,85,0,4.03
25,Kilindoni,TZ,12/24/2020 2:58,-7.91,39.67,81.57,79,36,11.07
26,Jawhar,SO,12/24/2020 2:58,2.78,45.5,69.64,75,0,9.86
27,Port Alfred,ZA,12/24/2020 2:58,-33.59,26.89,64,96,100,1.01
28,Winnemucca,US,12/24/2020 2:57,40.97,-117.74,26.6,63,1,6.93
29,Neiafu,TO,12/24/2020 2:58,-18.65,-173.98,84.2,74,40,5.82
30,Pakhtakoron,TJ,12/24/2020 2:58,40.16,68.75,33.55,82,74,10.92
31,Vila Velha,BR,12/24/2020 2:58,-20.33,-40.29,71.6,100,75,5.82
32,Cherskiy,RU,12/24/2020 2:58,68.75,161.3,-18.42,87,100,11.83
33,Sulphur,US,12/24/2020 2:58,30.24,-93.38,68,94,90,10.29
34,Palmer,US,12/24/2020 2:58,42.16,-72.33,28,73,75,4
35,Cape Town,ZA,12/24/2020 2:57,-33.93,18.42,66,93,75,6.93
36,Miri,MY,12/24/2020 2:54,4.41,114.01,86,79,40,6.93
37,Acajutla,SV,12/24/2020 2:58,13.59,-89.83,78.44,73,0,5.19
38,Houma,US,12/24/2020 2:58,29.6,-90.72,68,93,90,10.29
39,Tuktoyaktuk,CA,12/24/2020 2:58,69.45,-133.04,-2.2,84,90,17.22
40,Muisne,EC,12/24/2020 2:58,0.6,-80.03,75.45,87,100,7.58
41,Avarua,CK,12/24/2020 2:58,-21.21,-159.78,71.6,94,100,5.82
42,Belaya Gora,RU,12/24/2020 2:58,68.53,146.42,-19.07,87,100,14.76
43,Zhanaozen,KZ,12/24/2020 2:58,43.3,52.8,21.94,86,100,12.75
44,Aklavik,CA,12/24/2020 2:58,68.22,-135.01,-2.2,77,100,6.93
45,Saskylakh,RU,12/24/2020 2:58,71.92,114.08,-26.09,85,87,7.23
46,Hilo,US,12/24/2020 2:58,19.73,-155.09,80.6,51,1,8.05
47,Rokytne,UA,12/24/2020 2:58,51.28,27.21,30.49,99,79,6.49
48,Yangshe,CN,12/24/2020 2:58,31.89,120.61,54,94,0,9.86
